area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
3.363195;30306;9011.074290964396;32;60;1196;0.24175824175824176;0;93059.0
10.756527;966;89.80593829216437;0;1;41;1.0;0;77480.0
3.081827;2059;668.1101826935775;0;2;42;0.8181818181818182;0;91635.0
9.2053675;11931;1296.091655221804;0;35;365;0.5072463768115942;0;94060.0
16.3939375;673;41.05176074997236;0;1;22;1.0;0;77465.0
8.950762;210;23.461689630447108;0;0;12;1.0;0;95012.0
12.637249;1679;132.86119471096913;0;2;60;0.5;195.06436115528174242.153789616292835.8540427500795137.04597899975004501.3462424073645;77277.0
8.439268;34347;4069.9027451196002;4;96;1218;0.4725274725274725;0;91027.0
13.2372815;149;11.256087588678989;0;0;4;0.0;0;77319.0
3.47664;361;103.83588752358598;0;0;4;0.0;0;77098.0
4.2618835;3467;813.4900918807377;0;7;104;0.7619047619047619;0;77463.0
7.267996;2055;282.7464406969954;0;2;69;0.7777777777777778;0;91156.0
4.0739905;214;52.528350274749045;0;0;7;0.0;0;95309.0
4.6541185;4651;999.3299483027774;0;5;155;0.6388888888888888;0;94053.0
7.040287;34993;4970.393962632489;0;74;1024;0.42857142857142855;0;93050.0
5.160133;6338;1228.2629149287432;1;20;225;0.8148148148148148;46.57474019254333;91347.0
3.034931;37355;12308.35231509382;24;90;1097;0.47115384615384615;0;92020.0
5.8321515;7550;1294.5479897084292;4;19;190;0.6538461538461539;0;78455.0
4.6355915;1076;232.11708797032696;0;10;60;2.0;0;95088.0
5.369421;55655;10365.177176459063;16;135;1888;0.39814814814814814;99.4133255319160339.1004385000499444.0227602044903144.93750306176105238.50679917865506109.98899799299465134.08528265418408158.5123155797322584.78599073383721513.3542362204394;94046.0
